carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Nuvem Envio,ne-correios-sedex,Nuvem Envio - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Nuvem Envio,ne-correios-pac,Nuvem Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Correo Argentino Shipping,CPD,Correo Argentino Shipping - Clásico domicilio,,Clásico domicilio,2025-08-07 16:10:53
Correo Argentino Shipping,CPS,Correo Argentino Shipping - Clásico sucursal,,Clásico sucursal,2025-08-07 16:10:53
Mandaê,Econômico,Mandaê - Econômico,,Econômico,2025-08-07 16:10:53
Andreani Online,Andreani2,Andreani Online - Domicílio estándar,,Domicílio estándar,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-clasico-domicilio,Envío Nube - Correo Argentino - Clásico domicilio,Correo Argentino,Clásico domicilio,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-clasico-sucursal,Envío Nube - Correo Argentino - Clásico sucursal,Correo Argentino,Clásico sucursal,2025-08-07 16:10:53
Nuvem Envio,ne-jadlog-package,Nuvem Envio - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Total Express,EXP2022Digibee,Total Express - Econômico,,Econômico,2025-08-07 16:10:53
Andreani Online,Andreani3,Andreani Online - Sucursal,,Sucursal,2025-08-07 16:10:53
Shipnow,shipnow_pap_estandar,Shipnow - Domicilio estandar,,Domicilio estándar,2025-08-07 16:10:53
Melhor Envio,2,Melhor Envio - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Melhor Envio,4,Melhor Envio - Jadlog - .Com,Jadlog,.Com,2025-08-07 16:10:53
Mandaê,Rápido,Mandaê - Rápido,,Rápido,2025-08-07 16:10:53
Melhor Envio,31,Melhor Envio - Loggi - Express,Loggi,Express,2025-08-07 16:10:53
OCA,doorToDoor,OCA - Puerta a Puerta,,Puerta a Puerta,2025-08-07 16:10:53
Melhor Envio,1,Melhor Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Melhor Envio,28,Melhor Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Melhor Envio,3,Melhor Envio - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Envío Nube,ne-andreani-domicilio,Envío Nube - Andreani - Domicilio,Andreani,Domicilio,2025-08-07 16:10:53
Nuvem Envio,ne-correios-mini,Nuvem Envio - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Urbano Envios,UrbanoPaq,Urbano Envios - Express,,Express,2025-08-07 16:10:53
Frenet,LOG_VIP_WS,Frenet - Loggi - Expresso,Loggi,Expresso,2025-08-07 16:10:53
Correo Argentino Shipping,EPD,Correo Argentino Shipping - Expreso domicilio,,Expreso domicilio,2025-08-07 16:10:53
Frenet,03220,Frenet - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Manda Bem,PAC,Manda Bem - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Manda Bem,SEDEX,Manda Bem - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Frenet,03298,Frenet - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Frenet,J&T_WS,Frenet - J&T - Express,J&T,Express,2025-08-07 16:10:53
Nuvem Envio,ne-loggi-economic,Nuvem Envio - Loggi - Econômico,Loggi,Econômico,2025-08-07 16:10:53
Melhor Envio,33,Melhor Envio - J&T - Standard,J&T,Standard,2025-08-07 16:10:53
Shipnow,shipnow_pas_estandar,Shipnow - Retiro sucursal,,Retiro sucursal,2025-08-07 16:10:53
JadLog,3,Jadlog - .Package,,.Package,2025-08-07 16:10:53
SuperFrete,sedex,SuperFrete - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
OCA,doorToStore,OCA - Puerta a Sucursal,,Puerta a Sucursal,2025-08-07 16:10:53
Shippy,320|1984,Shippy - Express,,Express,2025-08-07 16:10:53
SuperFrete,pac,SuperFrete - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
OCA,storeToDoor,OCA - Sucursal a Puerta,,Sucursal a Puerta,2025-08-07 16:10:53
Nuvem Envio,ne-jadlog-com,Nuvem Envio - Jadlog - .Com,Jadlog,.Com,2025-08-07 16:10:53
E-pick,epick-option-1,E-pick - Domicilio,,Domicilio,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-expreso-domicilio,Envío Nube - Correo Argentino - Expreso domicilio,Correo Argentino,Expreso domicilio,2025-08-07 16:10:53
Envío Nube,ne-andreani-sucursal,Envío Nube - Andreani - Sucursal,Andreani,Sucursal,2025-08-07 16:10:53
Shippy,296|1801,Shippy - Loggi,,Loggi,2025-08-07 16:10:53
BRCom,sedex,BRCom - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Fast Mail,fastmail_2,Fast Mail - Serviço 72h,,Serviço 72h,2025-08-07 16:10:53
Frenet,LOG_WS_2,Frenet - Loggi - Econômico,Loggi,Econômico,2025-08-07 16:10:53
SouthPost,SOUTHPOSTS.A._8,SouthPost - Domicilio,,Domicilio,2025-08-07 16:10:53
Jipink,JIPINK_EXPRESS,Jipink - Domicilio express,,Domicilio express,2025-08-07 16:10:53
OCA,storeToStore,OCA - Sucursal a Sucursal,,Sucursal a Sucursal,2025-08-07 16:10:53
Frenet,LOG_VIP,Frenet - Loggi - Expresso,Loggi,Expresso,2025-08-07 16:10:53
Shippy,295|1798,Shippy - Express,,Express,2025-08-07 16:10:53
Correo Argentino Shipping,EPS,Correo Argentino Shipping - Expreso sucursal,,Expreso sucursal,2025-08-07 16:10:53
Frenet,EXP,Frenet - Total Express,,Total Express,2025-08-07 16:10:53
Frenet,LOG_DRPOFF,Frenet - Loggi - Ponto de postagem,Loggi,Ponto de postagem,2025-08-07 16:10:53
Kangu,kangu_E_120720464,Kangu - Loggi,Loggi,,2025-08-07 16:10:53
Frenet,3,Frenet - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Enviamelo,Enviamelo,Enviamelo - Domicilio,,Domicilio,2025-08-07 16:10:53
Fast Mail,fastmail_20,Fast Mail - Interior,,Interior,2025-08-07 16:10:53
Melhor Envio,12,Melhor Envio - LATAM - Cargo,LATAM,Cargo,2025-08-07 16:10:53
allPost,allPost0,allPost - Econômico,,Econômico,2025-08-07 16:10:53
Manda Bem,PACMINI,Manda Bem - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Nuvem Envio,ne-mandae-economico,Nuvem Envio - Mandaê - Econômico,Mandaê,Econômico,2025-08-07 16:10:53
Melhor Envio,34,Melhor Envio - Loggi - Ponto de postagem,Loggi,Ponto de postagem,2025-08-07 16:10:53
Melhor Envio,27,Melhor Envio - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Zippin,zippin_standard,Zippin - Domicilio,,Domicilio,2025-08-07 16:10:53
Pudo Argentina,pudoar,Pudo Argentina - Punto de retiro,,Punto de retiro,2025-08-07 16:10:53
Pudo Argentina,pudoShiptoAddress,Pudo Argentina - Domicilio,,Domicilio,2025-08-07 16:10:53
Shipnow,shipnow_pap_express,Shipnow - Domicilio express,,Domicilio express,2025-08-07 16:10:53
Frenet,04227,Frenet - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Frenet,DLOG_1,Frenet - DLog - Express,DLog,Express,2025-08-07 16:10:53
Frenet,J3FLEX_1,Frenet - Motoboy Express,,Motoboy Express,2025-08-07 16:10:53
Rapiboy,NxtD,Rapiboy - Express,,Express,2025-08-07 16:10:53
Frenet,F_3,Frenet - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Kangu,kangu_X_9900,Kangu - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
EnvioPack,enviopack_D_N,EnvioPack - Domicilio,,Domicilio,2025-08-07 16:10:53
JadLog,9,Jadlog - .Com,,.Com,2025-08-07 16:10:53
Bluemail,BlueMailS.A_1,Bluemail - Domicilio,,Domicilio,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-expreso-sucursal,Envío Nube - Correo Argentino - Expreso sucursal,Correo Argentino,Expreso sucursal,2025-08-07 16:10:53
FRETE PERSONALIZADO,fretepersonalizado1,Frete Personalizado - Outros,,Outros,2025-08-07 16:10:53
Frenet,MDE_ECO_WS,Frenet - Mandaê - Econômico,Mandaê,Econômico,2025-08-07 16:10:53
Boxlink,1,Boxlink - Loggi - Express,Loggi,Express,2025-08-07 16:10:53
GGPack (Andreani a Domicilio),ggpack_estandar,GGPACk - Andreani Domicilio,,Andreani Domicilio,2025-08-07 16:10:53
Lalamove,lalamove,Lalamove - Expresso,,Expresso,2025-08-07 16:10:53
Frenet,OWNE,Frenet - Logística própria,,Logística própria,2025-08-07 16:10:53
Kangu,kangu_E_9900,Kangu - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Melhor Envio,16,Melhor Envio - Azul Cargo - Express,Azul Cargo,Express,2025-08-07 16:10:53
Andreani,Andreani2,Andreani - Domicilio estándar,,Domicílio estándar,2025-08-07 16:10:53
Envia.com Checkout Service,CorreoArgentino - standard_suc,Envia.Com Checkout  Service - Correo Argentino - Estándar sucursal,Correo Argentino,Estándar sucursal,2025-08-07 16:10:53
Manda Bem,JADLOG_EXP,Manda Bem - Jadlog - .Com,Jadlog,.Com,2025-08-07 16:10:53
Frenet,JTEVIP_01,Frenet - J&T - Express,J&T,Express,2025-08-07 16:10:53
Fast Mail,fastmail_26,Fast Mail - Punto de retiro,,Punto de retiro,2025-08-07 16:10:53
Frenet,LOG_WS_3,Frenet - Loggi - Econômico,Loggi,Econômico,2025-08-07 16:10:53
Reserva Ink Entregas,97,Reserva Ink Envios - Loggi - Express,Loggi,Express,2025-08-07 16:10:53
Shippy,294|1797,Shippy - Total Express,,Total Express,2025-08-07 16:10:53
Shippy,356|2062,Shippy - J&T - Express,J&T,Express,2025-08-07 16:10:53
Envia.com Checkout Service,Estafeta - ground,Envia.Com Checkout  Service - Estafeta - Terrestre,Estafeta,Terrestre,2025-08-07 16:10:53
Frenet,OWN-CUSTOM,Frenet - Logística própria,,Logística própria,2025-08-07 16:10:53
MG Logística,DINAMICOSRL_8,MG Logística - Domicilio express,,Domicilio express,2025-08-07 16:10:53
Mile Logistic,MILELOGISTICSRL_1,Mile Logistic - Express,,Express,2025-08-07 16:10:53
Envia.com Checkout Service,Urbano - domicilio,Envia.Com Checkout Service - Urbano - Domicilio,Urbano,Domicilio,2025-08-07 16:10:53
Frenet,MDE_ECO,Frenet - Mandaê - Econômico,Mandaê,Econômico,2025-08-07 16:10:53
SuperFrete,mini envios,SuperFrete - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Nuvem Envio,ne-mandae-express,Nuvem Envio - Mandaê - Express,Mandaê,Express,2025-08-07 16:10:53
Melhor Envio,17,Melhor Envio - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Bluemail,BlueMailS.A_4,Bluemail - Domicilio,,Domicilio,2025-08-07 16:10:53
Fast Mail,fastmail_5,Fast Mail - Serviço 120h,,Serviço 120h,2025-08-07 16:10:53
Envia.com Checkout Service,CorreoArgentino - standard_dom,Envia.Com Checkout Service - Correo Argentino - Domicilio standar,Correo Argentino,Domicilio estándar,2025-08-07 16:10:53
IFLOW,PSD123,IFLOW - Domicilio,,Domicilio,2025-08-07 16:10:53
Frenet,GFL_1,Frenet - Grupo Five Logística,,Grupo Five Logística,2025-08-07 16:10:53
Fast Mail,fastmail_25,Fast Mail - Punto de retiro,,Punto de retiro,2025-08-07 16:10:53
Rapiboy,SamD,Rapiboy - Express,,Express,2025-08-07 16:10:53
Fast Mail,fastmail_4,Fast Mail - Serviço 24h,,Serviço 24h,2025-08-07 16:10:53
Frenet,BRAS_R,Frenet - Bras Press,,Bras Press,2025-08-07 16:10:53
Frenet,EST_VIP_3,Frenet - Express,,Express,2025-08-07 16:10:53
SmartEnvios,558,SmartEnvios - Loggi,,Loggi,2025-08-07 16:10:53
Flex,Flex,Flex - Econômico,,Econômico,2025-08-07 16:10:53
Kangu,kangu_E_28719,Kangu - Loggi,,Loggi,2025-08-07 16:10:53
E-pick,epick-option-oca-branches,E-pick - Sucursal,,Sucursal,2025-08-07 16:10:53
Melhor Envio,22,Melhor Envio - Buslog - Rodoviário,Buslog,Rodoviário,2025-08-07 16:10:53
Frenet,39870,Frenet - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Envío rápido con Treggo,102037,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
expresstranslog,expresstranslog,expresstranslog - Outros,,Outros,2025-08-07 16:10:53
Fast Mail,fastmail_22,Fast Mail - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Magalu Log,Intelipost - Magalu Log - Econômico,Magalu Log,Econômico,2025-08-07 16:10:53
Frenet,MV3_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Ilhsa,Ilhsa0,Ilhsa - Outros,,Outros,2025-08-07 16:10:53
Entregar,Entregar,Entregar - Outros,,Outros,2025-08-07 16:10:53
Frenet,PTJ_IMP,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,FMT_1,Frenet - FMT Transportes - Econômico,FMT Transportes,Econômico,2025-08-07 16:10:53
DPD,dpd,DPD - Outros,,Outros,2025-08-07 16:10:53
Delegamas,Delegamas_3,Delegamas - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,252,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Frenet,OWN-KM,Frenet - Logística própria,,Logística própria,2025-08-07 16:10:53
ViaCargo,1,ViaCargo - Outros,,Outros,2025-08-07 16:10:53
Frenet,LPO_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Melhor Envio,32,Melhor Envio - Loggi - Coleta,Loggi,Coleta,2025-08-07 16:10:53
Melhor Envio,29,Melhor Envio - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Intelipost,Braspress Standard,Intelipost - Braspress - Standar,Braspress,Standar,2025-08-07 16:10:53
Intelipost,J&T,Intelipost - J&T,,J&T,2025-08-07 16:10:53
HOP,HOP0,HOP - Outros,,Outros,2025-08-07 16:10:53
Shippy,372|2096,Shippy - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Mandaê Econômico 1,Intelipost - Mandaê - Econômico,Mandaê,Econômico,2025-08-07 16:10:53
Frenet,39888,Frenet - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
LOGMANAGER EXPRESS,logmanager,LOGMANAGER EXPRESS - Outros,,Outros,2025-08-07 16:10:53
Welivery,standard,Welivery - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,934,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
PackGo,PackGo914,PackGo - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,InterRapidisimo - ground_small,Envia.com Checkout Service - Ground small,,Ground small,2025-08-07 16:10:53
BRCom,own_delivery,BRCom - Super expresso,,Super expresso,2025-08-07 16:10:53
Frenet,OWN1,Frenet - Logística própria,,Logística própria,2025-08-07 16:10:53
Intelipost,Loggi Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Mocis,2,Mocis - Outros,,Outros,2025-08-07 16:10:53
Saires envíos,NEXTDY,Saires envíos - Outros,,Outros,2025-08-07 16:10:53
Jipink,JIPINK_STANDARD,Jipink - Outros,,Outros,2025-08-07 16:10:53
Frete Motoboy Rapidão,uber,Frete Motoboy Rapidão - Outros,,Outros,2025-08-07 16:10:53
Jamef,23,Jamef - Outros,,Outros,2025-08-07 16:10:53
allPost,allPost1,allPost - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Frota Interna Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Envío Nube,ne-envia-dhl-express,Envío Nube - DHL Nacional - Día Siguiente,DHL Nacional,Día Siguiente,2025-08-07 16:10:53
Frete Barato,jet,Frete Barato - Outros,,Outros,2025-08-07 16:10:53
skydropx,estafeta.estafeta_standard,skydropx - Outros,,Outros,2025-08-07 16:10:53
SuperFrete,2,SuperFrete - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Andreani,Andreani3,Andreani - Sucursal,,Sucursal,2025-08-07 16:10:53
Frenet,EST_VIP_2,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,CUB_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Skynde + Logistic,Skynde+logistic_1,Skynde + Logistic - Outros,,Outros,2025-08-07 16:10:53
skydropx,FEDEX FEDEX_EXPRESS_SAVER,skydropx - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Estafeta - express,Envia.Com Checkout  Service - Estafeta - Express,Estafeta,Express,2025-08-07 16:10:53
Upnext Shipping,ms_transportes,Upnext Shipping - Outros,,Outros,2025-08-07 16:10:53
Shippy,292|1761,Shippy - Jadlog,,Jadlog,2025-08-07 16:10:53
SuperFrete,1,SuperFrete - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Enviamelo,Enviamelo0,Enviamelo - Outros,,Outros,2025-08-07 16:10:53
skydropx,dhl.express,skydropx - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Fedex - ground,Envia.com Checkout Service - FedEx - Ground,FedEx,Ground,2025-08-07 16:10:53
Zippin,zippin_pickup,Zippin - Outros,,Outros,2025-08-07 16:10:53
SouthPost,SOUTHPOSTS.A._24,SouthPost - Outros,,Outros,2025-08-07 16:10:53
Fixy Logística,FIXYLOGISTICA_4,Fixy Logística - Outros,,Outros,2025-08-07 16:10:53
E-Ship | Argentina,Urbano,E-Ship | Argentina - Outros,,Outros,2025-08-07 16:10:53
Rapiboy,NOCA,Rapiboy - Outros,,Outros,2025-08-07 16:10:53
Flippy,Flippy_17,Flippy - Outros,,Outros,2025-08-07 16:10:53
Smartpost,SMARTPOST_10,Smartpost - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Loggi - coleta,Envia.com Checkout Service - Loggi - Coleta,Loggi,Coleta,2025-08-07 16:10:53
Bluemail,BlueMailS.A_3,Bluemail - Outros,,Outros,2025-08-07 16:10:53
Upnext Shipping,quick_delivery,Upnext Shipping - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-jet,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
skydropx,ESTAFETA ESTAFETA_STANDARD,skydropx - Outros,,Outros,2025-08-07 16:10:53
Bluemail,bluemail-standard,Bluemail - Outros,,Outros,2025-08-07 16:10:53
MeusCorreios,SEDEX,MeusCorreios - Outros,,Outros,2025-08-07 16:10:53
Frenet,RNC,Frenet - Outros,,Outros,2025-08-07 16:10:53
Intelipost,QUALITY STANDARD,Intelipost - Outros,,Outros,2025-08-07 16:10:53
E-Pick,epick-option-1,E-pick - Domicilio,,Domicilio,2025-08-07 16:10:53
Intelipost,Correios Sedex,Intelipost - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Saires envíos,STDARD,Saires envíos - Outros,,Outros,2025-08-07 16:10:53
Fast Mail,fastmail_27,Fast Mail - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;82;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
ViaCargo,3000,ViaCargo - Outros,,Outros,2025-08-07 16:10:53
MD - Mas Distribucion,Skynde+logistic_1,MD - Mas Distribucion - Outros,,Outros,2025-08-07 16:10:53
Siempre,2,Siempre - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-jadlog,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
Shippy,339|2022,Shippy - Outros,,Outros,2025-08-07 16:10:53
PLATINUM LOG,4,PLATINUM LOG - Outros,,Outros,2025-08-07 16:10:53
Frenet,MDE_RAP_WS,Frenet - Mandaê - Expresso,Mandaê,Expresso,2025-08-07 16:10:53
Shippy,337|2019,Shippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,ZPX_PP,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frete Barato,mag,Frete Barato - Outros,,Outros,2025-08-07 16:10:53
Melhor Envio,15,Melhor Envio - Azul Cargo - Express,Azul Cargo,Express,2025-08-07 16:10:53
Siempre,1,Siempre - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Loggi - ponto,Envia.com Checkout Service - Loggi - Ponto,Loggi,Ponto,2025-08-07 16:10:53
OCA,doorToLocker,OCA - Puerta a Locker,,Puerta a Locker,2025-08-07 16:10:53
Envío rápido con Treggo,335563,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Kangu,kangu_E_12532,Kangu - Mercado Livre,,Mercado Livre,2025-08-07 16:10:53
Kangu,kangu_M_9900,Kangu - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
CityKids,CityKids0,CityKids - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Correios - sedex,Envia.com Checkout Service - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
SmartEnvios,1021,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Picklog,2,Picklog - Outros,,Outros,2025-08-07 16:10:53
Envío Nube,ne-envia-estafeta-ground,Envío Nube - Estafeta - Terrestre,Estafeta,Terrestre,2025-08-07 16:10:53
SmartEnvios,679,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Paquetexpress - ground,Envia.com Checkout Service - Paquetexpress - Ground,Paquetexpress,Ground,2025-08-07 16:10:53
Shippy,444|2257,Shippy - Outros,,Outros,2025-08-07 16:10:53
Andreani,estándar,Andreani - Domicilio estándar,,Domicílio estándar,2025-08-07 16:10:53
Cruz Del Sur,Cruz Del Sur - Entrega en domicilio,Cruz Del Sur - Outros,,Outros,2025-08-07 16:10:53
Intralog,INTERIOR,Intralog - Outros,,Outros,2025-08-07 16:10:53
Zipnova,zippin_standard,Zipnova - Outros,,Outros,2025-08-07 16:10:53
Frenet,CARR_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-loggi,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
Bluemail,bluemail-pronto_g,Bluemail - Outros,,Outros,2025-08-07 16:10:53
Onlog Express,5,Onlog Express - Outros,,Outros,2025-08-07 16:10:53
BRCom,pac,BRCom - Econômico,,Econômico,2025-08-07 16:10:53
Flixlog,Rodonaves,Flixlog - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4040444,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,390854,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Coordinadora - ground,Envia.com Checkout Service - Coordinadora - Ground,Coordinadora,Ground,2025-08-07 16:10:53
Eship Entregas,eship;76;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Flash Now Envíos,express,Flash Now Envíos - Outros,,Outros,2025-08-07 16:10:53
OCA,storeToLocker,OCA - Sucursal a Locker,,Sucursal a Locker,2025-08-07 16:10:53
Entrega Agendada (Huapps. week),3158545_comercial_week,Entrega Agendada (Huapps. week) - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Oca - oca_PP,Envia.com Checkout Service - OCA - Puerta a Puerta,OCA,Puerta a Puerta,2025-08-07 16:10:53
Kangu,kangu_E_140975441,Kangu - Rede Sul,,Rede Sul,2025-08-07 16:10:53
Montink Fretes,DN16594,Montink Fretes - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,698,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
skydropx,fedex.fedex_express_saver,skydropx - Outros,,Outros,2025-08-07 16:10:53
Day-Envio,day_loggi,Day-Envio - Outros,,Outros,2025-08-07 16:10:53
Moova - envios en el dia,tiendaNube2Moova_4,Moova - envios en el dia - Outros,,Outros,2025-08-07 16:10:53
Shippy,293|1778,Shippy - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Fixy Logística,FIXYLOGISTICA_5,Fixy Logística - Outros,,Outros,2025-08-07 16:10:53
Shippy,459|2309,Shippy - Outros,,Outros,2025-08-07 16:10:53
Frenet,JADVIP,Frenet - Outros,,Outros,2025-08-07 16:10:53
GGPack Envios,ggpack_estandar,GGPack Envios - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Andreani - ground,Envia.com Checkout Service - Andreani - estándar,Andreani,estándar,2025-08-07 16:10:53
Intralog,AMBA,Intralog - Outros,,Outros,2025-08-07 16:10:53
skydropx,estafeta.estafeta_next_day,skydropx - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,4800595,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Paquery,priority,Paquery - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-pax,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
Eship Entregas,eship;70;3,Eship Entregas - Outros,,Outros,2025-08-07 16:10:53
Saires envíos,STDAMB,Saires envíos - Outros,,Outros,2025-08-07 16:10:53
Braspress,258,Braspress - Outros,,Outros,2025-08-07 16:10:53
Frenet,RTE1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,332994,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Correios - pac,Envia.com Checkout Service - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Envío Nube,ne-envia-fedex-express,Envío Nube - FedEx - Día Siguiente,FedEx,Día Siguiente,2025-08-07 16:10:53
skydropx,dhl.standard,skydropx - Outros,,Outros,2025-08-07 16:10:53
ModdingEnvios,MODDINGFLEX_9,ModdingEnvios - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-gfl,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Mandaê Rápido 1,Intelipost - Mandaê - Rápido,Mandaê,Rápido,2025-08-07 16:10:53
Frenet,LLM_1,Frenet - Outros,,Outros,2025-08-07 16:10:53
Frenet,GOL_04,Frenet - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,371,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Frete Barato,sma,Frete Barato - Outros,,Outros,2025-08-07 16:10:53
Otimizador de Frete,loggi-envios-sp,Otimizador de Frete - Outros,,Outros,2025-08-07 16:10:53
BusPack,Domicilio,BusPack - Outros,,Outros,2025-08-07 16:10:53
SmartEnvios,929,SmartEnvios - Outros,,Outros,2025-08-07 16:10:53
Envío rápido con Treggo,1117375,Envío rápido con Treggo - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Total Express,Intelipost - Total Express,,Total Express,2025-08-07 16:10:53
M10 Entregas Flex,flexentregasm10,M10 Entregas Flex - Outros,,Outros,2025-08-07 16:10:53
Envia.com Checkout Service,Oca - oca_SP,Envia.com Checkout Service - Outros,,Outros,2025-08-07 16:10:53
Moova - envios en el dia,tiendaNube2Moova_11,Moova - envios en el dia - Outros,,Outros,2025-08-07 16:10:53
Upnext Shipping,Rod_Rodoviário,Upnext Shipping - Outros,,Outros,2025-08-07 16:10:53
Mais Envios,3298,Mais Envios - Outros,,Outros,2025-08-07 16:10:53
Frenet,SLG_7,Frenet - Outros,,Outros,2025-08-07 16:10:53
Entrega Agendada (Huapps),3765926_comercial,Entrega Agendada (Huapps) - Outros,,Outros,2025-08-07 16:10:53
Pickit,pickit2,Pickit - Outros,,Outros,2025-08-07 16:10:53
Fasttrack,FASTTRACK_11,Fasttrack - Outros,,Outros,2025-08-07 16:10:53
MMSPACK,standard,MMSPACK - Outros,,Outros,2025-08-07 16:10:53
Mis entregas,MisEntregas_15,Mis entregas - Outros,,Outros,2025-08-07 16:10:53
EnvioPack,enviopack_S_N,EnvioPack - Outros,,Outros,2025-08-07 16:10:53
Intelipost,Translovato Standard,Intelipost - Outros,,Outros,2025-08-07 16:10:53
Fast Mail,fastmail_37,Fast Mail - Outros,,Outros,2025-08-07 16:10:53
